time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.time_ref.secs,.time_ref.nsecs,.source
2025/07/05/17:48:27.894519,9683,1751712507,893862586,,1751712507,681756000,fcu
2025/07/05/17:48:28.014893,9684,1751712508,14134636,,1751712507,801372000,fcu
2025/07/05/17:48:28.094952,9685,1751712508,94345326,,1751712507,882332000,fcu
2025/07/05/17:48:28.195631,9686,1751712508,195109889,,1751712507,982702000,fcu
2025/07/05/17:48:28.294548,9687,1751712508,294259721,,1751712508,81951000,fcu
2025/07/05/17:48:28.395334,9688,1751712508,395020239,,1751712508,182431000,fcu
2025/07/05/17:48:28.553430,9689,1751712508,552801192,,1751712508,340490000,fcu
2025/07/05/17:48:28.633226,9690,1751712508,632786270,,1751712508,420631000,fcu
2025/07/05/17:48:28.756853,9691,1751712508,753438029,,1751712508,540341000,fcu
2025/07/05/17:48:28.853795,9692,1751712508,852891295,,1751712508,640874000,fcu
2025/07/05/17:48:28.995020,9693,1751712508,994479302,,1751712508,782164000,fcu
2025/07/05/17:48:29.094660,9694,1751712509,93956181,,1751712508,881530000,fcu
2025/07/05/17:48:29.195915,9695,1751712509,195190512,,1751712508,982672000,fcu
2025/07/05/17:48:29.295251,9696,1751712509,294467216,,1751712509,81703000,fcu
2025/07/05/17:48:29.418422,9697,1751712509,417395702,,1751712509,204763000,fcu
