time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.temperature,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.cell_temperature,.location,.serial_number
2025/07/05/17:44:20.226024,14654,1751712260,225647352,,11.97700023651123,0.0,-1.090000033378601,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.97700023651123,)",(),id1,
2025/07/05/17:44:20.262967,14655,1751712260,262377692,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:20.322685,14656,1751712260,322069530,,11.981000900268555,0.0,-0.6800000071525574,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.981000900268555,)",(),id1,
2025/07/05/17:44:20.363861,14657,1751712260,362352117,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:20.522690,14658,1751712260,522206483,,11.97900104522705,0.0,-0.4599999785423279,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.97900104522705,)",(),id1,
2025/07/05/17:44:20.563027,14659,1751712260,562409491,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:20.625672,14660,1751712260,625218838,,11.983000755310059,0.0,-0.4699999988079071,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.983000755310059,)",(),id1,
2025/07/05/17:44:20.663445,14661,1751712260,662394244,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:20.722757,14662,1751712260,722217293,,11.983000755310059,0.0,-0.4599999785423279,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.983000755310059,)",(),id1,
2025/07/05/17:44:20.762990,14663,1751712260,762458380,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:20.805146,14664,1751712260,804427915,,11.983000755310059,0.0,-0.4599999785423279,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.983000755310059,)",(),id1,
2025/07/05/17:44:20.862690,14665,1751712260,862249591,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
