time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.remote_timestamp_ns,.observed_offset_ns,.estimated_offset_ns,.round_trip_time_ms
2025/07/05/17:49:47.272732,11095,1751712587,270415191,,2960995123000,1751709626268038157,1751709626283147008,13.269096374511719
2025/07/05/17:49:47.371970,11096,1751712587,371222684,,2961095116000,1751709626268749812,1751709626283147008,14.69890308380127
2025/07/05/17:49:47.470686,11097,1751712587,470158093,,2961195347000,1751709626268084061,1751709626283147008,13.449907302856445
2025/07/05/17:49:47.571144,11098,1751712587,569966530,,2961294466000,1751709626268817612,1751709626283147008,13.362238883972168
2025/07/05/17:49:47.670396,11099,1751712587,670212896,,2961395464000,1751709626267875115,1751709626283147008,13.745113372802734
2025/07/05/17:49:47.770363,11100,1751712587,769820358,,2961495304000,1751709626267848941,1751709626283147008,13.331313133239746
2025/07/05/17:49:47.870995,11101,1751712587,870379183,,2961595298000,1751709626267956679,1751709626283147008,13.536844253540039
2025/07/05/17:49:47.970567,11102,1751712587,970142954,,2961694467000,1751709626268852462,1751709626283147008,13.64317798614502
2025/07/05/17:49:48.073287,11103,1751712588,69764347,,2961795119000,1751709626268036024,1751709626283147008,13.212321281433105
2025/07/05/17:49:48.171627,11104,1751712588,169827616,,2961894602000,1751709626268570542,1751709626283147008,13.30492115020752
2025/07/05/17:49:48.271757,11105,1751712588,269983828,,2961995103000,1751709626268150530,1751709626283147008,13.454862594604492
2025/07/05/17:49:48.370988,11106,1751712588,370018990,,2962095313000,1751709626267950573,1751709626283147008,13.48635482788086
2025/07/05/17:49:48.471549,11107,1751712588,471195964,,2962194491000,1751709626269406559,1751709626283147008,14.325652122497559
2025/07/05/17:49:48.570745,11108,1751712588,570324141,,2962295455000,1751709626268090050,1751709626283147008,13.53386402130127
2025/07/05/17:49:48.670908,11109,1751712588,670262862,,2962395458000,1751709626267970685,1751709626283147008,13.648427963256836
2025/07/05/17:49:48.771217,11110,1751712588,770084594,,2962495084000,1751709626268276147,1751709626283147008,13.445717811584473
2025/07/05/17:49:48.870445,11111,1751712588,869892576,,2962595122000,1751709626268137067,1751709626283147008,13.262314796447754
2025/07/05/17:49:48.971254,11112,1751712588,970436494,,2962695286000,1751709626268247320,1751709626283147008,13.778169631958008
2025/07/05/17:49:49.070861,11113,1751712589,70235063,,2962795109000,1751709626268173945,1751709626283147008,13.489480018615723
2025/07/05/17:49:49.170690,11114,1751712589,170200448,,2962895234000,1751709626268125799,1751709626283147008,13.66680908203125
2025/07/05/17:49:49.270724,11115,1751712589,270031630,,2962995121000,1751709626268159167,1751709626283147008,13.49848461151123
2025/07/05/17:49:49.370611,11116,1751712589,370189007,,2963095457000,1751709626267943950,1751709626283147008,13.555784225463867
2025/07/05/17:49:49.470378,11117,1751712589,470050475,,2963195035000,1751709626268298626,1751709626283147008,13.427659034729004
2025/07/05/17:49:49.571113,11118,1751712589,570303105,,2963295462000,1751709626267984354,1751709626283147008,13.697907447814941
2025/07/05/17:49:49.671071,11119,1751712589,670383818,,2963395289000,1751709626268047354,1751709626283147008,13.616832733154297
2025/07/05/17:49:49.770389,11120,1751712589,769953169,,2963494496000,1751709626268755185,1751709626283147008,13.398903846740723
2025/07/05/17:49:49.872826,11121,1751712589,870024885,,2963595434000,1751709626267901231,1751709626283147008,13.373191833496094
2025/07/05/17:49:49.970596,11122,1751712589,970041178,,2963695285000,1751709626268071074,1751709626283147008,13.358936309814453
2025/07/05/17:49:50.070197,11123,1751712590,70031658,,2963794500000,1751709626268776785,1751709626283147008,13.506442070007324
2025/07/05/17:49:50.171240,11124,1751712590,170312440,,2963894591000,1751709626268924550,1751709626283147008,13.576865196228027
2025/07/05/17:49:50.272993,11125,1751712590,270320450,,2963994465000,1751709626268634533,1751709626283147008,13.155558586120605
2025/07/05/17:49:50.370878,11126,1751712590,369969770,,2964095107000,1751709626268157771,1751709626283147008,13.40665054321289
2025/07/05/17:49:50.471532,11127,1751712590,471100892,,2964195233000,1751709626268697811,1751709626283147008,14.336562156677246
2025/07/05/17:49:50.570364,11128,1751712590,569943646,,2964295284000,1751709626267993993,1751709626283147008,13.325112342834473
2025/07/05/17:49:50.671767,11129,1751712590,670961625,,2964394556000,1751709626269934243,1751709626283147008,12.93626880645752
2025/07/05/17:49:50.771940,11130,1751712590,770287753,,2964494727000,1751709626268731149,1751709626283147008,13.638895988464355
2025/07/05/17:49:50.871649,11131,1751712590,870938113,,2964594509000,1751709626269008990,1751709626283147008,13.608512878417969
2025/07/05/17:49:50.970918,11132,1751712590,970184256,,2964695301000,1751709626268073027,1751709626283147008,13.602775573730469
2025/07/05/17:49:51.070701,11133,1751712591,69986425,,2964795332000,1751709626267976553,1751709626283147008,13.348505020141602
2025/07/05/17:49:51.171975,11134,1751712591,169621977,,2964894588000,1751709626268541708,1751709626283147008,12.977090835571289
2025/07/05/17:49:51.270210,11135,1751712591,269600080,,2964995096000,1751709626267965373,1751709626283147008,13.071860313415527
